,perc_known_unique_lemmata,perc_known_words
curtius,0.4169901804064855,0.8631899505138941
germanicus,0.6167471819645732,0.7945487860742098
carmina_pripea,0.5948352626892253,0.7888433658997794
pliny_younger,0.35714285714285715,0.8696988474408229
pliny_maior,0.33659450457951706,0.795412413179425
persius,0.5036188178528347,0.7311981020166074
quintilian_inst,0.31977419890420056,0.891282568247864
asconius,0.5887662988966901,0.87708192026528
valerius_flaccus,0.4202279202279202,0.8226125532042443
calpurnius_siculus,0.5369335816263191,0.7724311830216432
quintilian_decl_mai,0.43757881462799497,0.8799022212775003
ovid,0.2755893536121673,0.8540188714814411
manilius,0.48598130841121495,0.8569767892432286
cicero,0.18711194731890876,0.9042032371164476
sallust,0.5352163031819807,0.8947865062514744
propertius,0.457498482088646,0.8371246986631602
petronius,0.3878887070376432,0.8044137831394929
tibullus,0.555357936860827,0.8386952636282395
vellius,0.5115511551155115,0.8583932326047626
tacitus,0.29993815708101423,0.8284736335436945
columella,0.2826569435637286,0.7607748452807149
suplpicia,0.8881987577639752,0.9180327868852459
varro,0.3276975683890577,0.8396362768898307
martial,0.35011835592855606,0.8024049851679309
lucan,0.4170867604139029,0.8376847530143913
vitruvius,0.3711601929423712,0.7928838458792808
cato,0.44805194805194803,0.7361686390532545
livy,0.26318593500266385,0.8825446728352534
apuleius,0.24721236695387735,0.766862881215706
vergil,0.324319177299562,0.816214340992181
horace,0.3408692262716819,0.7947485207100592
grattius,0.6273885350318471,0.8132139549243593
statius,0.3242634640645525,0.7879317781741452
nepos,0.5410128388017118,0.9098686220592729
juvenal,0.4074358974358974,0.800898780226835
frontinus,0.4432536411101951,0.8306813413807572
valerius_maximus,0.3556948028013269,0.8284014470634786
pomponius_mela,0.543684710351377,0.8506813569150479
silius,0.35309060118543606,0.7921032010912151
corpus_caesarianum,0.5109814687714482,0.8856339061831081
suetonius,0.30001564210855625,0.7990261844822648
hyginus,0.49946447697250984,0.866983686678555
seneca_maior,0.4049187527448397,0.8852227223175642
sen,0.24267935578330893,0.8743499296820707
caesar,0.45750350631136044,0.9008882853828962
catullus,0.4707581227436823,0.8061561313748143
ilias_latina,0.6222222222222222,0.8358772080260676
aug_res_gestae,0.6555386949924128,0.8325652841781874
